"Apply this rule with provided coupons only. Comma separated. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Rules</span></a> area first.","Apply this rule with coupon only. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Rules</span></a> area first."
"Apply this rule with ANY coupon from specified discount rules. Create rule in <a href="%s"><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule.","Apply this rule with ANY coupon from specified discount rule. Create rule in <a href="%s"><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule."
"Not apply this rule with provided coupons. Comma separated. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Rules</span></a> area first.","Not apply this rule with coupon. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Rules</span></a> area first."
"Not apply the rule with ANY coupon from specified discount rules. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule.","Not apply the rule with ANY coupon from specified discount rule. Create coupon in <a href="%s"><span>Promotions / Shopping Cart Price Rules</span></a> area first. Useful when you have MULTIPLE coupons in one rule."
"Shopping Cart Rules (discount)","Shopping Cart Rules (discount)"
"Apply Restrictions Only With","Apply Restrictions Only With"
"Do NOT Apply Restrictions With","Do NOT Apply Restrictions With"
"Conditions","Conditions"
"All orders","All orders"
"Backorders only","Backorders only"
"Non backorders","Non backorders"
"Backorders","Backorders"
"Days and Time","Days and Time"
"Days of the Week","Days of the Week"
"Leave empty or select all to apply the rule every day","Leave empty or select all to apply the rule every day"
"Time From:","Time From:"
"Time To:","Time To:"
"Apply In","Apply In"
"Admin Area","Admin Area"
"No","No"
"Yes","Yes"
"Stores","Stores"
"Leave empty or select all to apply the rule to any store","Leave empty or select all to apply the rule to any store"
"Apply For","Apply For"
"Customer Groups","Customer Groups"
"Leave empty or select all to apply the rule to any group","Leave empty or select all to apply the rule to any group"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"NOT LOGGED IN","NOT LOGGED IN"
"Coupon codes","Coupon codes"
"Custom Options SKU","Custom Options SKU"
